test	size	container	runtime	min	max	avg	var	dev
emplace	20000	tuple	49632	46.93000	78.48700	49.63279	15.79770	3.97463
emplace	20000	map	843994	788.81800	1157.02200	843.99497	1377.87993	37.11981
array	20000	vector	21971	20.34800	51.17900	21.97178	8.12111	2.84976
array	20000	tuple	22642	22.27100	55.65900	22.64260	2.63607	1.62360
array	20000	map	1036683	988.76200	1553.78800	1036.68359	3112.07640	55.78599
iterator	20000	tuple	20145	18.69200	69.46700	20.14523	8.94735	2.99121
iterator	20000	vector	20443	19.29400	42.69200	20.44372	3.47374	1.86380
iterator	20000	map	162718	154.39600	790.52900	162.71871	542.43909	23.29032
find	20000	tuple	133986	125.51500	284.07000	133.98611	158.57512	12.59266
find	20000	map	992633	921.16900	2949.42500	992.63329	14453.28515	120.22182
lower_bound	20000	tuple	340458	327.51500	445.75400	340.45883	314.08365	17.72241
lower_bound	20000	map	958315	907.45400	1915.39400	958.31552	5487.68328	74.07890
